time_step,user_satisfaction,operator_profit,grid_friendliness,total_reward
0,0.6449834751366205,0.03857226641914758,-0.051644010811401825,0.4118184683586822
1,0.6654306875778613,0.02696872321372512,-0.03787226112100362,0.4185820528271116
2,0.5894150098701533,0.009291872518494379,-0.013048605213331106,0.38659627492161
3,0.7186618679135649,0.00011389426674762891,-0.00015994206979202556,0.43747492413498146
4,0.6492016702884581,0.0,0.0,0.4096806681153833
5,0.6410216040888705,0.0004933608237233665,-0.0006928281251896868,0.4064527256638868
6,0.6616022995466526,0.0010684580763102062,-0.001500438969326946,0.41473639139615504
7,0.4111324543441782,0.0,0.0,0.31445298173767133
8,0.4858200721022176,0.00024950281149198046,-0.0008759439177342905,0.3442714880966745
9,0.49696475428215114,0.0007095471611333795,-0.002491048162639218,0.3486251086368046
10,0.5657609005866499,7.811128668053838e-05,-0.0002742298015203586,0.376286659150436
11,0.5291397982519385,0.0003919661184459904,-0.0013760980702284375,0.36156709442577495
12,0.5231155406019014,2.308613479414137e-06,-8.104982559514009e-06,0.3592456930774205
13,0.49979035639412994,3.9765837021808746e-05,-0.00013960821869931527,0.3499071310759536
14,0.45252187836875185,0.0023439579167677154,-0.008229068315263512,0.3304775784752415
15,0.5216662171516935,0.00043955802399981016,-0.0015431817193222812,0.358566877009979
16,0.5812103584236024,7.43258105749069e-05,-0.0002609399121173965,0.3824673001257958
17,0.5175756164016122,0.0003975029649792851,-0.0013955365968537125,0.3569401669606106
18,0.49885123559405614,0.0,0.0,0.34954049423762246
19,0.5143248233442008,0.0006425713378559478,-0.0022559122750542455,0.355584313897779
20,0.5470533093377901,0.0,0.0,0.368821323735116
21,0.49623989584539757,0.00020181006025119335,-0.0007085062238679642,0.3484502254226542
22,0.6017129629629631,0.00026940649103989465,-0.0009458209140545842,0.390624133995389
23,0.568108096868161,6.183515770297121e-05,-8.683530252531737e-05,0.3772487639991965
24,0.6022369185072938,0.0,0.0,0.3908947674029175
25,0.6800555345687957,0.0,0.0,0.42202221382751826
26,0.6311816208987907,0.0,0.0,0.40247264835951624
27,0.6632162901656561,0.0010900098289149203,-0.0015307041619277441,0.4153839133906478
28,0.6505050505050504,0.00023275350068587109,-0.0003268564583108205,0.4102228177834793
29,0.6671324167422048,0.0007394739426108066,-0.0010384455365125232,0.4169190420491883
30,0.5743634893732638,0.0,0.0,0.37974539574930555
